iter	MultiClass
0	1.50189421
1	1.31436028
2	1.176466352
3	1.056757609
4	0.9695670397
5	0.8894676043
6	0.8242529242
7	0.7666407461
8	0.7219708422
9	0.6734899507
10	0.630340234
11	0.5958101221
12	0.5636438343
13	0.5327664735
14	0.505359405
15	0.4848489219
16	0.4624565978
17	0.4425755476
18	0.4243853352
19	0.4100445484
20	0.3985831512
21	0.3819943
22	0.3699800545
23	0.3613994823
24	0.3495815014
25	0.3384175686
26	0.3266970971
27	0.3179059287
28	0.3090830734
29	0.3002479901
30	0.2932256233
31	0.2861773625
32	0.2791067115
33	0.2727953751
34	0.2667686066
35	0.2612269282
36	0.2556773355
37	0.2509735161
38	0.2451879393
39	0.241566163
40	0.2371071588
41	0.2335373242
42	0.231270109
43	0.2279975813
44	0.2247852177
45	0.2199102444
46	0.2153407442
47	0.2120380798
48	0.2088642188
49	0.2043183964
50	0.2021630903
51	0.1990810565
52	0.1955335276
53	0.1928608182
54	0.1906327584
55	0.1888032111
56	0.185832396
57	0.1831710756
58	0.1809088965
59	0.1781431819
60	0.1751505025
61	0.1728136439
62	0.170747703
63	0.1684924499
64	0.1666569065
65	0.1640342744
66	0.1618945755
67	0.1600248398
68	0.1578488459
69	0.1558857059
70	0.1541928313
71	0.1522702728
72	0.1509684688
73	0.1489307414
74	0.1466075135
75	0.1451598254
76	0.1435448393
77	0.1416483499
78	0.1403584408
79	0.1389099829
80	0.1373169492
81	0.1359250722
82	0.1339625429
83	0.1330138702
84	0.1316465879
85	0.1298414635
86	0.1287417384
87	0.1271807061
88	0.1265294414
89	0.1250909045
90	0.1240560425
91	0.1226992243
92	0.1212278185
93	0.1195082324
94	0.1180951082
95	0.1165646673
96	0.1155710335
97	0.1142893499
98	0.1128924727
99	0.111701709
