iter	Passed	Remaining
0	4	405
1	8	406
2	12	401
3	16	398
4	20	392
5	24	385
6	28	382
7	32	377
8	36	372
9	41	370
10	45	365
11	49	361
12	53	359
13	57	355
14	61	351
15	66	346
16	70	343
17	74	338
18	78	334
19	82	330
20	86	326
21	90	321
22	95	318
23	98	313
24	102	308
25	107	304
26	111	301
27	115	296
28	119	292
29	123	288
30	127	283
31	131	279
32	135	275
33	139	271
34	143	266
35	148	263
36	152	259
37	156	255
38	160	251
39	164	247
40	168	242
41	173	239
42	177	235
43	181	231
44	186	227
45	190	223
46	194	219
47	199	215
48	203	211
49	207	207
50	211	203
51	216	199
52	220	195
53	224	191
54	229	187
55	233	183
56	237	178
57	241	174
58	245	170
59	249	166
60	253	162
61	257	158
62	261	153
63	266	149
64	270	145
65	274	141
66	278	137
67	283	133
68	287	129
69	291	125
70	295	120
71	299	116
72	303	112
73	308	108
74	312	104
75	316	99
76	320	95
77	324	91
78	328	87
79	332	83
80	336	78
81	340	74
82	344	70
83	348	66
84	352	62
85	356	58
86	360	53
87	364	49
88	368	45
89	372	41
90	376	37
91	380	33
92	384	28
93	388	24
94	392	20
95	396	16
96	400	12
97	404	8
98	408	4
99	412	0
